set_no,tag_spp,tag_no,salt,shade
16,Pa x Sa,74,0,S3
16,Pa x Spu,28,0,S3
17,Pa,27,3,S3
17,Pv,50,3,S3
17,Ds,14,3,S3
17,Sp,72,3,S3
17,Sa,66,3,S3
17,Spu,21,3,S3
17,Pv x Ds,15,3,S3
17,Pv x Sp,59,3,S3
17,Pv x Sa,63,3,S3
17,Pv x Spu,18,3,S3
17,Pa x Ds,33,3,S3
17,Pa x Sp,23,3,S3
17,Pa x Sa,15,3,S3
17,Pa x Spu,27,3,S3
18,Pa,12,0,D3
18,Pv,12,0,D3
18,Ds,12,0,D3
18,Sp,12,0,D3
18,Sa,12,0,D3
18,Spu,12,0,D3
18,Pv x Ds,17,0,D3
18,Pv x Sp,68,0,D3
18,Pv x Sa,66,0,D3
18,Pv x Spu,16,0,D3
18,Pa x Ds,10,0,D3
18,Pa x Sp,34,0,D3
18,Pa x Sa,26,0,D3
18,Pa x Spu,17,0,D3
19,Pv,13,0,C2
19,Ds,16,0,C2
19,Sp,15,0,C2
19,Sa,13,0,C2
19,Spu,16,0,C2
19,Pv x Ds,18,0,C2
19,Pv x Sp,51,0,C2
19,Pv x Sa,46,0,C2
19,Pv x Spu,23,0,C2
20,Pv,54,3,C2
20,Ds,15,3,C2
20,Sp,14,3,C2
20,Sa,69,3,C2
20,Spu,20,3,C2
20,Pv x Ds,26,3,C2
20,Pv x Sp,28,3,C2
20,Pv x Sa,61,3,C2
20,Pv x Spu,49,3,C2
21,Pv,63,6,C2
21,Ds,21,6,C2
21,Sp,21,6,C2
21,Sa,14,6,C2
21,Spu,17,6,C2
21,Pv x Ds,22,6,C2
21,Pv x Sp,63,6,C2
21,Pv x Sa,4,6,C2
21,Pv x Spu,29,6,C2
22,Pv,66,3,S1
22,Ds,17,3,S1
22,Sp,26,3,S1
22,Sa,15,3,S1
22,Spu,25,3,S1
22,Pv x Ds,23,3,S1
22,Pv x Sp,47,3,S1
22,Pv x Sa,45,3,S1
22,Pv x Spu,22,3,S1
23,Pv,49,6,S1
23,Ds,43,6,S1
23,Sp,13,6,S1
23,Sa,68,6,S1
23,Spu,26,6,S1
23,Pv x Ds,27,6,S1
23,Pv x Sp,58,6,S1
23,Pv x Sa,8,6,S1
23,Pv x Spu,28,6,S1
24,Pv,48,0,S1
24,Ds,19,0,S1
24,Sp,25,0,S1
24,Sa,71,0,S1
24,Spu,18,0,S1
24,Pv x Ds,28,0,S1
24,Pv x Sp,46,0,S1
24,Pv x Sa,44,0,S1
24,Pv x Spu,21,0,S1
25,Pv,70,6,D3
25,Ds,24,6,D3
25,Sp,20,6,D3
25,Sa,70,6,D3
25,Spu,19,6,D3
25,Pv x Ds,19,6,D3
25,Pv x Sp,55,6,D3
25,Pv x Sa,65,6,D3
25,Pv x Spu,27,6,D3
26,Pv,53,0,D3
26,Ds,22,0,D3
26,Sp,19,0,D3
26,Sa,72,0,D3
26,Spu,24,0,D3
26,Pv x Ds,20,0,D3
26,Pv x Sp,50,0,D3
26,Pv x Sa,43,0,D3
26,Pv x Spu,15,0,D3
27,Pv,58,3,D3
27,Ds,18,3,D3
